case_id,e1,e2,e3,t1,t2,t3,total_thickness,peak_downward_uz,peak_downward_abs,mean_patch_uz,mean_patch_abs,pinn_eval_seconds,n_eval_points
random_interior_136,9.1969983,4.5222166,3.6608762,0.086668681,0.037297797,0.084841107,0.20880758,-0.1257922423,0.1257922423,-0.09325559364,0.09325559364,0.000796,441
random_interior_110,9.2205484,2.3185639,7.2127691,0.050956929,0.070567941,0.051360234,0.1728851,-0.1272372356,0.1272372356,-0.09911934571,0.09911934571,0.001083,441
random_interior_028,9.6562782,5.7094995,7.9360473,0.044352384,0.050889659,0.044911833,0.14015388,-0.1272551022,0.1272551022,-0.1013864386,0.1013864386,0.001164,441
random_interior_183,9.0190805,6.0982336,5.5209794,0.097833257,0.020977196,0.091593848,0.2104043,-0.1274784262,0.1274784262,-0.09004850523,0.09004850523,0.000804,441
random_interior_482,7.0117891,8.2453415,5.4988994,0.053300808,0.035122965,0.092649747,0.18107352,-0.1276006489,0.1276006489,-0.09805115764,0.09805115764,0.000783,441
random_interior_237,7.2372262,5.4187011,4.3044817,0.051765572,0.085781279,0.045376285,0.18292314,-0.1276710104,0.1276710104,-0.09893876839,0.09893876839,0.000798,441
random_interior_329,2.8688412,3.3438739,7.7566772,0.08978509,0.061226536,0.091685745,0.24269737,-0.1279703113,0.1279703113,-0.09386159378,0.09386159378,0.000822,441
random_interior_496,6.8378959,3.3439787,5.5538681,0.078450308,0.023273713,0.088152981,0.189877,-0.1281910477,0.1281910477,-0.09774101663,0.09774101663,0.002219,441
random_interior_059,8.7798541,2.6233398,5.6983065,0.086931682,0.092209114,0.049437497,0.22857829,-0.1304827328,0.1304827328,-0.09397924384,0.09397924384,0.001614,441
random_interior_228,5.3974012,4.9146249,2.8703931,0.076934581,0.088082853,0.040000361,0.2050178,-0.1316087607,0.1316087607,-0.1012497658,0.1012497658,0.000780,441
random_interior_214,6.058605,7.3791865,2.1623333,0.067207601,0.087261162,0.048762685,0.20323145,-0.1322260194,0.1322260194,-0.1023777762,0.1023777762,0.000948,441
